iter	MultiClass
0	1.082303616
1	1.066620111
2	1.051404863
3	1.035213943
4	1.021972758
5	1.008761729
6	0.9963934846
7	0.9843576136
8	0.9731594546
9	0.9624166096
10	0.9530089189
11	0.9428374503
12	0.934738528
13	0.9261491357
14	0.9177344936
15	0.9096803944
16	0.9021512433
17	0.8953211978
18	0.889000643
19	0.8824833713
20	0.8760879467
21	0.869701307
22	0.8631959387
23	0.8573242371
24	0.8510582762
25	0.8466238849
26	0.8413867823
27	0.8363594541
28	0.8316378044
29	0.8272857678
30	0.8222397869
31	0.8189397503
32	0.8144924294
33	0.8099726689
34	0.8058499746
35	0.8028241462
36	0.7978670558
37	0.7935792201
38	0.7890387815
39	0.7856516888
40	0.7826961703
41	0.7791712448
42	0.7770222431
43	0.7740327088
44	0.770724338
45	0.7678757572
46	0.7644023553
47	0.7613147658
48	0.7578797789
49	0.754381702
50	0.7518829988
51	0.7491293653
52	0.7468129184
53	0.7442075345
54	0.7420588935
55	0.7387782738
56	0.7366942696
57	0.7333203873
58	0.7295486921
59	0.7272803705
60	0.7251792687
61	0.7228452754
62	0.7201357993
63	0.7175578995
64	0.7150711132
65	0.7122673563
66	0.7106984317
67	0.7085805248
68	0.7061993307
69	0.7041137693
70	0.7015765819
71	0.6990115613
72	0.6965742665
73	0.6941683699
74	0.692157369
75	0.6897949743
76	0.6881651919
77	0.686671825
78	0.683928716
79	0.681611152
80	0.6796678663
81	0.677500924
82	0.6759846521
83	0.6733280803
84	0.6705019842
85	0.6684376172
86	0.6667895357
87	0.6645949435
88	0.662805981
89	0.6605711871
90	0.6585601389
91	0.6575739262
92	0.6559268574
93	0.6547448421
94	0.6531102
95	0.6515177575
96	0.6494353225
97	0.6479904495
98	0.6463076456
99	0.6443705828
100	0.6417158483
101	0.6405537763
102	0.6386999925
103	0.6376411512
104	0.6347802496
105	0.6328982215
106	0.6309483095
107	0.6293179396
108	0.6277846688
109	0.6263790777
110	0.6250443281
111	0.6236829015
112	0.6219688816
113	0.6202354527
114	0.6193737944
115	0.6182068916
116	0.6168727286
117	0.6156481422
118	0.6142070888
119	0.6126754449
120	0.6107727089
121	0.6091339734
122	0.6072002948
123	0.6056860556
124	0.6042435345
125	0.6023743916
126	0.6002452569
127	0.5985955986
128	0.597021548
129	0.5954533289
130	0.5932115071
131	0.5915888095
132	0.5905733347
133	0.5895443559
134	0.5885310389
135	0.5867163975
136	0.5854906196
137	0.5847469021
138	0.5832251325
139	0.5814173283
140	0.5798773282
141	0.5785035135
142	0.5769624396
143	0.5753213281
144	0.5737378787
145	0.5718442132
146	0.5701231097
147	0.5677983422
148	0.5665440426
149	0.5651478536
150	0.5639290046
151	0.5630110018
152	0.5613136172
153	0.5603785784
154	0.5588553925
155	0.5577385116
156	0.5567929857
157	0.5552982019
158	0.5536930965
159	0.55285288
160	0.5512332278
161	0.5496660381
162	0.5484447726
163	0.5473991796
164	0.5458727573
165	0.5444502915
166	0.5429905685
167	0.5417548922
168	0.5410607699
169	0.539954708
170	0.5392127439
171	0.5382732007
172	0.5368056046
173	0.5354114928
174	0.5343473028
175	0.5330965615
176	0.5313507759
177	0.5298055616
178	0.5292590991
179	0.5278020798
180	0.5265910387
181	0.5252125622
182	0.5240203332
183	0.5227609084
184	0.5217681227
185	0.5205607412
186	0.5194977769
187	0.5186728027
188	0.5174502925
189	0.5160987128
190	0.5150862598
191	0.5139458229
192	0.5131937668
193	0.5122301587
194	0.5112311945
195	0.5095963038
196	0.5084448038
197	0.5071649331
198	0.5060891203
199	0.5050816681
200	0.5042244976
201	0.5032341573
202	0.5022532784
203	0.501147363
204	0.4995022346
205	0.4984673752
206	0.4974773323
207	0.4962830401
208	0.4955689604
209	0.4942973781
210	0.4933338444
211	0.4925857487
212	0.4913590194
213	0.4901511789
214	0.489340803
215	0.4875033729
216	0.4861284478
217	0.4844486806
218	0.4833572161
219	0.4820354203
220	0.481078443
221	0.48036506
222	0.479515807
223	0.4786453211
224	0.4774824649
225	0.4766514875
226	0.4757138007
227	0.4747697653
228	0.4739050032
229	0.4732118984
230	0.4725777474
231	0.4717888438
232	0.4708591063
233	0.46981721
234	0.4687479173
235	0.4672274983
236	0.4662016326
237	0.4651468371
238	0.46431158
239	0.4634867112
240	0.462215793
241	0.4611030704
242	0.4595730669
243	0.4588465087
244	0.4577285462
245	0.4568327949
246	0.4559592305
247	0.4549736188
248	0.4542217124
249	0.4535356538
250	0.452607765
251	0.4516517697
252	0.4506252163
253	0.4497423768
254	0.4489219609
255	0.4482216649
256	0.447431588
257	0.4460372833
258	0.4448045494
259	0.4435168572
260	0.4423503945
261	0.4411029842
262	0.4402820665
263	0.4393444003
264	0.4380257752
265	0.4372099867
266	0.4365864681
267	0.4359502831
268	0.4350622674
269	0.4340829109
270	0.4331840413
271	0.4322752256
272	0.4311739004
273	0.430486286
274	0.4298260261
275	0.4288214372
276	0.4281776193
277	0.4272951423
278	0.426560421
279	0.4256179733
280	0.424660462
281	0.4238115559
282	0.4230402999
283	0.4222177975
284	0.4210137723
285	0.4197156329
286	0.4184972889
287	0.4178755617
288	0.4172772282
289	0.4165179829
290	0.4159258834
291	0.4151164937
292	0.4144261603
293	0.4134337065
294	0.4122237317
295	0.4110973616
296	0.4103677892
297	0.4099123065
298	0.4094354692
299	0.4083866779
