iter	Passed	Remaining
0	297	88848
1	393	58668
2	488	48333
3	584	43241
4	677	39969
5	770	37762
6	868	36350
7	958	34990
8	1048	33897
9	1146	33237
10	1238	32540
11	1330	31924
12	1423	31421
13	1519	31039
14	1612	30639
15	1704	30254
16	1795	29892
17	1889	29595
18	1984	29342
19	2076	29072
20	2165	28776
21	2256	28516
22	2347	28271
23	2432	27978
24	2529	27822
25	2620	27613
26	2707	27380
27	2798	27187
28	2894	27048
29	2981	26829
30	3075	26689
31	3169	26544
32	3265	26418
33	3355	26251
34	3450	26125
35	3539	25959
36	3632	25818
37	3722	25664
38	3810	25504
39	3906	25390
40	3994	25233
41	4079	25062
42	4166	24900
43	4261	24792
44	4347	24636
45	4440	24519
46	4530	24385
47	4624	24278
48	4719	24175
49	4813	24067
50	4905	23951
51	4993	23814
52	5084	23694
53	5169	23551
54	5266	23462
55	5358	23345
56	5450	23236
57	5542	23123
58	5632	23006
59	5718	22875
60	5807	22754
61	5900	22648
62	5997	22562
63	6090	22458
64	6179	22342
65	6271	22235
66	6360	22118
67	6454	22020
68	6541	21901
69	6631	21789
70	6722	21680
71	6817	21588
72	6907	21479
73	6993	21359
74	7086	21259
75	7180	21162
76	7271	21059
77	7364	20961
78	7452	20849
79	7541	20738
80	7629	20628
81	7716	20514
82	7804	20403
83	7894	20300
84	7986	20200
85	8074	20091
86	8164	19987
87	8249	19874
88	8338	19769
89	8430	19671
90	8524	19578
91	8619	19488
92	8705	19377
93	8793	19269
94	8884	19171
95	8974	19071
96	9066	18973
97	9151	18863
98	9244	18769
99	9332	18665
100	9417	18555
101	9505	18451
102	9591	18345
103	9681	18245
104	9773	18149
105	9857	18041
106	9941	17931
107	10026	17825
108	10120	17733
109	10209	17633
110	10300	17538
111	10387	17436
112	10480	17343
113	10568	17242
114	10656	17143
115	10747	17047
116	10842	16958
117	10932	16861
118	11027	16773
119	11122	16684
120	11214	16589
121	11304	16494
122	11399	16404
123	11496	16317
124	11583	16217
125	11676	16124
126	11774	16039
127	11865	15944
128	11950	15840
129	12042	15747
130	12133	15652
131	12225	15559
132	12324	15474
133	12412	15376
134	12504	15282
135	12598	15192
136	12687	15095
137	12773	14995
138	12863	14899
139	12953	14804
140	13039	14704
141	13129	14609
142	13214	14508
143	13302	14411
144	13393	14317
145	13487	14226
146	13574	14128
147	13674	14044
148	13764	13949
149	13865	13865
150	13965	13780
151	14055	13685
152	14145	13590
153	14232	13493
154	14327	13403
155	14419	13310
156	14511	13217
157	14600	13121
158	14690	13027
159	14779	12932
160	14875	12842
161	14967	12750
162	15055	12654
163	15144	12558
164	15231	12461
165	15317	12365
166	15406	12269
167	15495	12175
168	15584	12080
169	15673	11985
170	15767	11894
171	15860	11803
172	15951	11710
173	16040	11615
174	16127	11519
175	16218	11426
176	16311	11335
177	16401	11241
178	16489	11146
179	16577	11051
180	16670	10959
181	16759	10866
182	16846	10770
183	16940	10680
184	17034	10588
185	17122	10494
186	17211	10400
187	17305	10309
188	17390	10213
189	17483	10121
190	17574	10029
191	17663	9935
192	17752	9841
193	17847	9751
194	17942	9661
195	18030	9567
196	18116	9472
197	18201	9376
198	18291	9283
199	18378	9189
200	18465	9094
201	18556	9002
202	18641	8907
203	18729	8813
204	18816	8720
205	18906	8627
206	18995	8534
207	19083	8440
208	19171	8347
209	19257	8253
210	19352	8162
211	19445	8071
212	19533	7978
213	19625	7887
214	19715	7794
215	19806	7702
216	19901	7611
217	19996	7521
218	20088	7430
219	20183	7339
220	20271	7246
221	20358	7152
222	20449	7061
223	20541	6969
224	20629	6876
225	20712	6782
226	20807	6691
227	20901	6600
228	20989	6507
229	21077	6414
230	21164	6321
231	21253	6229
232	21341	6136
233	21429	6044
234	21520	5952
235	21612	5860
236	21701	5768
237	21785	5675
238	21873	5582
239	21961	5490
240	22052	5398
241	22148	5308
242	22239	5216
243	22334	5125
244	22426	5034
245	22518	4942
246	22608	4851
247	22696	4758
248	22784	4666
249	22876	4575
250	22964	4483
251	23054	4391
252	23144	4299
253	23231	4207
254	23323	4115
255	23409	4023
256	23498	3931
257	23593	3840
258	23687	3749
259	23780	3658
260	23867	3566
261	23956	3474
262	24044	3382
263	24133	3290
264	24222	3199
265	24315	3108
266	24399	3015
267	24490	2924
268	24580	2832
269	24668	2740
270	24757	2649
271	24844	2557
272	24936	2466
273	25025	2374
274	25114	2283
275	25207	2191
276	25293	2100
277	25379	2008
278	25467	1916
279	25553	1825
280	25647	1734
281	25743	1643
282	25840	1552
283	25933	1461
284	26023	1369
285	26112	1278
286	26200	1186
287	26285	1095
288	26377	1003
289	26465	912
290	26552	821
291	26643	729
292	26732	638
293	26823	547
294	26917	456
295	27013	365
296	27103	273
297	27193	182
298	27281	91
299	27366	0
